GUID 0fd787ad97c74535a65f1d7fb57134ff
Blueprint_76_Supply_0_Amount 1
Blueprint_76_Supply_1_ID 34262
Blueprint_76_Supply_1_Amount 1
Blueprint_76_Product 34080
Blueprint_76_Products 1
Blueprint_76_Build 32
Blueprint_77_Type Apparel
Blueprint_77_Supplies 2
Blueprint_77_Supply_0_ID 34076
Blueprint_77_Supply_0_Amount 1
Blueprint_77_Supply_1_ID 34262
Blueprint_77_Supply_1_Amount 1
Blueprint_77_Product 34081
Blueprint_77_Products 1
Blueprint_77_Build 32
Blueprint_78_Type Apparel
Blueprint_78_Supplies 2
Blueprint_78_Supply_0_ID 34077
Blueprint_78_Supply_0_Amount 1
Blueprint_78_Supply_1_ID 34262
Blueprint_78_Supply_1_Amount 1
Blueprint_78_Product 34082
Blueprint_78_Products 1
Blueprint_78_Build 32
Blueprint_79_Type Apparel
Blueprint_79_Supplies 2
Blueprint_79_Supply_0_ID 34078
Blueprint_79_Supply_0_Amount 1
Blueprint_79_Supply_1_ID 34262
Blueprint_79_Supply_1_Amount 1
Blueprint_79_Product 34083
Blueprint_79_Products 1
Blueprint_79_Build 32
Blueprint_80_Type Apparel
Blueprint_80_Supplies 2
Blueprint_80_Supply_0_ID 34066
Blueprint_80_Supply_0_Amount 1
Blueprint_80_Supply_1_ID 34262
Blueprint_80_Supply_1_Amount 1
Blueprint_80_Product 34070
Blueprint_80_Products 1
Blueprint_80_Build 32
Blueprint_81_Type Apparel
Blueprint_81_Supplies 2
Blueprint_81_Supply_0_ID 34067
Blueprint_81_Supply_0_Amount 1
Blueprint_81_Supply_1_ID 34262
Blueprint_81_Supply_1_Amount 1
Blueprint_81_Product 34071
Blueprint_81_Products 1
Blueprint_81_Build 32
Blueprint_82_Type Apparel
Blueprint_82_Supplies 2
Blueprint_82_Supply_0_ID 34068
Blueprint_82_Supply_0_Amount 1
Blueprint_82_Supply_1_ID 34262
Blueprint_82_Supply_1_Amount 1
Blueprint_82_Product 34072
Blueprint_82_Products 1
Blueprint_82_Build 32
Blueprint_83_Type Apparel
Blueprint_83_Supplies 2
Blueprint_83_Supply_0_ID 34069
Blueprint_83_Supply_0_Amount 1
Blueprint_83_Supply_1_ID 34262
Blueprint_83_Supply_1_Amount 1
Blueprint_83_Product 34073
Blueprint_83_Products 1
Blueprint_83_Build 32
